date,temperature_2m_mean,apparent_temperature_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_gusts_10m_mean,wind_speed_10m_mean,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,soil_temperature_0_to_100cm_mean,soil_moisture_0_to_100cm_mean,wind_gusts_10m_min,wind_speed_10m_min,Ciudad
2015-01-05,20.322416,19.643242,0.0,0.0,16.746773,23.759998,18.015,10.334398,63.344524,89.44231,31.312817,26.028002,0.007860001,8.64,1.2979984,Doha
2015-01-06,18.822414,19.147408,0.0,0.0,14.658676,19.08,16.56,10.130092,81.07218,99.35669,54.535652,25.920294,0.007833749,9.0,5.3517847,Doha
2015-01-07,19.39325,20.060976,0.0,0.0,13.53236,19.8,13.035001,7.4841604,78.99641,99.67701,42.459827,25.862228,0.007854168,5.04,2.2768397,Doha
2015-01-08,19.4745,16.997091,0.0,0.0,38.776527,55.44,31.845001,22.21011,66.30461,96.22754,30.173145,25.769545,0.0076966654,10.799999,8.12197,Doha
2015-01-09,17.080751,13.682677,0.0,0.0,30.631746,45.36,31.755003,20.542059,56.61635,71.08371,42.540497,25.565437,0.0075799986,13.679999,9.793058,Doha
2015-01-10,17.126583,16.517553,0.0,0.0,23.000591,29.16,14.790001,8.810087,72.954475,86.446846,57.831776,25.231192,0.0075799986,6.4799995,2.8116899,Doha
2016-01-04,15.866168,11.840656,0.0,0.0,30.45566,45.719997,39.225,26.697306,65.128586,78.48403,51.58725,24.688707,0.011159167,26.64,17.84816,Doha
2016-01-05,16.85575,14.988652,0.0,0.0,22.148046,34.2,25.319998,17.33485,74.55485,87.21858,55.100803,24.562836,0.010249165,19.44,13.281023,Doha
2016-01-06,17.276583,15.032749,0.0,0.0,17.339897,28.08,21.569998,14.4886265,62.879833,91.547966,28.45461,24.53248,0.009485001,12.959999,10.44,Doha
2016-01-07,16.959915,15.148156,0.0,0.0,21.261345,33.12,21.854998,14.6984825,68.82052,91.03145,45.690628,24.412666,0.008785001,13.679999,9.904906,Doha
2016-01-08,17.314083,16.854671,0.0,0.0,15.782622,23.039999,16.710001,9.860442,77.41829,98.364075,45.814957,24.443106,0.008347502,7.5599995,1.8,Doha
2016-01-09,19.81825,18.578165,0.0,0.0,22.79684,35.28,24.615,17.001982,70.36654,91.69454,42.63206,24.57344,0.008055833,18.0,11.808878,Doha
