,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
0,33.0,Paris,French Open,24/05/15,Grand Slam,Outdoor,Clay,1st Round,5.0,Bautista R.,Mayer F.,20.0,527.0,1750.0,63.0,6.0,3.0,6.0,1.0,6.0,3.0,,,,,3.0,0.0,Completed,1.11,6.5,1.13,7.41,1.15,7.54,1.12,6.12
1,33.0,Paris,French Open,24/05/15,Grand Slam,Outdoor,Clay,1st Round,5.0,Dzumhur D.,Youzhny M.,88.0,68.0,601.0,720.0,6.0,2.0,6.0,1.0,,,,,,,2.0,0.0,Retired,2.25,1.57,2.27,1.71,2.3,1.75,2.21,1.64
2,33.0,Paris,French Open,24/05/15,Grand Slam,Outdoor,Clay,1st Round,5.0,Kohlschreiber P.,Soeda G.,28.0,92.0,1285.0,575.0,6.0,1.0,6.0,0.0,6.0,2.0,,,,,3.0,0.0,Completed,1.04,13.0,1.04,16.0,1.06,16.0,1.04,11.54
3,33.0,Paris,French Open,24/05/15,Grand Slam,Outdoor,Clay,1st Round,5.0,Rosol L.,Ymer E.,43.0,175.0,1035.0,283.0,6.0,2.0,7.0,6.0,6.0,3.0,,,,,3.0,0.0,Completed,1.44,2.62,1.42,3.11,1.5,3.11,1.45,2.7
4,33.0,Paris,French Open,24/05/15,Grand Slam,Outdoor,Clay,1st Round,5.0,Baghdatis M.,Karlovic I.,59.0,25.0,832.0,1330.0,7.0,6.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,2.0,1.72,2.11,1.81,2.11,1.85,2.0,1.78
5,33.0,Paris,French Open,24/05/15,Grand Slam,Outdoor,Clay,1st Round,5.0,Federer R.,Falla A.,2.0,109.0,9235.0,485.0,6.0,3.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,Completed,1.01,21.0,1.02,24.52,1.02,36.0,1.01,18.03
6,33.0,Paris,French Open,24/05/15,Grand Slam,Outdoor,Clay,1st Round,5.0,Wawrinka S.,Ilhan M.,9.0,81.0,3845.0,647.0,6.0,3.0,6.0,2.0,6.0,3.0,,,,,3.0,0.0,Completed,1.02,17.0,1.03,20.0,1.04,25.21,1.02,15.89
7,33.0,Paris,French Open,24/05/15,Grand Slam,Outdoor,Clay,1st Round,5.0,Granollers M.,Bachinger M.,57.0,124.0,845.0,431.0,6.0,4.0,6.0,3.0,7.0,6.0,,,,,3.0,0.0,Completed,1.44,2.62,1.58,2.54,1.58,2.9,1.47,2.64
8,33.0,Paris,French Open,24/05/15,Grand Slam,Outdoor,Clay,1st Round,5.0,Andujar P.,Ramos-Vinolas A.,42.0,63.0,1050.0,780.0,6.0,2.0,6.0,4.0,7.0,6.0,,,,,3.0,0.0,Completed,1.4,2.75,1.47,2.9,1.5,2.92,1.43,2.75
9,33.0,Paris,French Open,24/05/15,Grand Slam,Outdoor,Clay,1st Round,5.0,Mahut N.,Coppejans K.,116.0,107.0,469.0,494.0,6.0,3.0,6.0,4.0,7.0,6.0,,,,,3.0,0.0,Completed,3.0,1.36,3.56,1.34,3.64,1.42,3.0,1.38
10,33.0,Paris,French Open,24/05/15,Grand Slam,Outdoor,Clay,1st Round,5.0,Gulbis E.,Sijsling I.,29.0,166.0,1275.0,311.0,6.0,4.0,6.0,4.0,7.0,6.0,,,,,3.0,0.0,Completed,1.36,3.0,1.36,3.44,1.4,3.46,1.34,3.2
11,33.0,Paris,French Open,24/05/15,Grand Slam,Outdoor,Clay,1st Round,5.0,Nishikori K.,Mathieu P.H.,5.0,125.0,5220.0,429.0,6.0,3.0,7.0,5.0,6.0,1.0,,,,,3.0,0.0,Completed,1.02,19.0,1.02,22.73,1.03,26.0,1.02,16.48
12,33.0,Paris,French Open,24/05/15,Grand Slam,Outdoor,Clay,1st Round,5.0,Lajovic D.,Gonzalez M.,67.0,114.0,730.0,471.0,6.0,3.0,6.0,3.0,6.0,1.0,,,,,3.0,0.0,Completed,1.25,3.75,1.28,4.14,1.29,4.14,1.26,3.8
